order_id,order_item_id,order_date,ship_date,order_status,customer_id,customer_name,gender,age,country,city,sales_channel,payment_method,product_id,product_name,category,unit_price,quantity,discount_pct,shipping_cost,revenue,profit
100001,1,2023-11-28,,Returned,405,Alex Johnson,Male,41,Canada,Toronto,Store,Card,4974,Smartwatch,Electronics,233.81,1,0.135,0.0,202.34,34.04
100002,2,2024-03-04,2024-03-05,Completed,565,Dana Smith,Male,32,Canada,Toronto,Online,Card,6440,T-Shirt,Fashion,16.49,1,0.25,4.22,12.36,-2.79
100003,3,2024-07-24,,Returned,297,Dana Brown,Male,54,UK,Glasgow,Marketplace,Card,9709,Running Shoes,Sports,89.71,1,0.266,9.95,65.87,-8.43
100004,4,2024-10-16,2024-10-17,Completed,561,Chris Taylor,Male,57,USA,Houston,Marketplace,Card,9520,Sofa Cover,Home,35.54,1,0.148,0.0,30.27,3.28
100005,5,2024-08-22,,Returned,371,Morgan Williams,Male,62,USA,New York,Online,Card,9520,Sofa Cover,Home,32.4,3,0.027,1.39,94.6,28.59
100006,6,2023-10-22,2023-10-23,Completed,121,Riley Miller,Male,66,UK,Birmingham,Store,Card,6339,Rice 5kg,Grocery,11.46,1,0.291,0.0,8.13,0.6
100007,7,2025-02-21,2025-02-28,Completed,322,Jamie Davis,Female,55,India,Mumbai,Marketplace,Wallet,4413,Face Cream,Beauty,15.57,7,0.201,5.3,87.12,20.43
100008,8,2023-03-04,2023-03-07,Completed,663,Sam Wilson,Female,63,India,Bengaluru,Online,Card,7968,Dress,Fashion,61.52,2,0.032,8.58,119.12,38.83
100009,9,2023-04-30,2023-05-02,Completed,787,Morgan Brown,Male,43,India,Hyderabad,Online,Card,9600,Tennis Racket,Sports,105.94,1,0.088,1.42,96.62,32.55
100010,10,2025-06-23,2025-06-27,Completed,564,Morgan Miller,Female,61,India,Delhi,Online,Card,2389,Jeans,Fashion,35.8,1,0.014,9.31,35.3,-0.67
100011,11,2023-01-13,2023-01-18,Completed,187,Morgan Jones,Male,27,India,Chennai,Online,Transfer,7968,Dress,Fashion,61.99,2,0.218,6.25,96.94,20.35
100012,12,2024-09-24,2024-09-30,Completed,56,Casey Moore,Female,43,India,Hyderabad,Online,Transfer,7013,Laptop,Electronics,816.88,3,0.067,7.01,2286.73,465.93
100013,13,2023-03-10,,Cancelled,452,Jordan Johnson,Female,56,Nigeria,Lagos,Online,Card,5865,Headphones,Electronics,79.9,1,0.09,3.97,72.71,11.62
100014,14,2024-09-20,2024-09-27,Completed,213,Sam Miller,Male,58,UK,Manchester,Marketplace,Card,4974,Smartwatch,Electronics,190.56,1,0.092,3.29,173.09,63.39
100015,15,2024-04-22,2024-04-25,Completed,88,Jordan Johnson,Female,65,UK,Leeds,Marketplace,Card,7013,Laptop,Electronics,1028.4,1,0.35,8.17,668.46,-46.66
100016,16,2024-06-24,2024-06-30,Completed,557,Alex Moore,Female,59,Nigeria,Port Harcourt,Online,Wallet,2634,Microwave,Home,126.79,3,0.093,3.71,345.15,91.63
100017,17,2024-06-29,2024-07-04,Completed,338,Taylor Taylor,Male,69,USA,Houston,Marketplace,Card,4573,Yoga Mat,Sports,19.22,1,0.207,4.77,15.24,-3.81
100018,18,2023-12-31,2024-01-01,Completed,287,Casey Jones,Male,62,Canada,Montreal,Online,Wallet,4198,Vacuum,Home,161.72,2,0.296,3.91,227.8,43.54
100019,19,2023-03-24,2023-03-26,Completed,482,Taylor Davis,Male,48,Canada,Ottawa,Marketplace,Card,4888,Coffee 500g,Grocery,8.53,1,0.111,0.0,7.58,1.32
